season,title,airdate,rating,votes,description
1,Pilot,2011-09-20,7.7,2007,"After breaking up with her two-timing boyfriend, schoolteacher Jess Day moves in with three single males: a bartender, a womanizer, and a personal trainer."
1,Kryptonite,2011-09-27,7.3,1355,"Nick and Schmidt help Jess get her things out of her ex's apartment. Later, Jess meets new roomie Winston, who's back from playing basketball abroad."
1,Wedding,2011-10-04,7.6,1282,"Fearful that he'll run into his ex-girlfriend at a wedding, Nick asks Jess to be his date. Meanwhile, Winston takes his role as an usher seriously."
1,Naked,2011-11-01,8,1256,"When Jess walks in on Nick naked, his confidence is sent to an all-time low, just after a pretty co-worker agrees to go out with him."
1,Cece Crashes,2011-11-08,7.8,1137,"Cece crashes at the loft after a bad breakup, and convinces Jess that Nick likes her more than just as a roommate."
1,Thanksgiving,2011-11-15,7.8,1118,"Jess invites Paul, a music teacher at her school on whom she always has had a crush, to the gang's big Thanksgiving dinner at the loft, which naturally goes horribly awry."
1,Bells,2011-11-29,7.1,1064,Jess gets jealous when Winston joins her troubled-youth handbell quartet and instantly becomes a natural. Meanwhile Nick and Schmidt engage in class warfare when the toilet breaks and they each have their own idea of how to get it fixed.
1,Bad in Bed,2011-12-06,7.5,1053,"When Jess decides to take her relationship with Paul to the next level, she consults with the guys for some sex advice. Meanwhile, Schmidt worms his way into his boss' baby shower to compete with his office female counterpart."
1,The 23rd,2011-12-13,7.7,1007,The gang attends Schmidt's holiday office party and Jess frets when she receives an expensive gift from Paul.
1,The Story of the 50,2012-01-17,7.8,1053,"When Schmidt's plans for his 29th birthday fall apart, Jess takes charge and enlists the help of her school's party hungry vice-principal. Meanwhile, Nick begrudgingly has his first date at Schmidt's party with a beautiful lawyer who harbors a secret, and the gang argues why one of them has to place a 50 dollar bill in the douchebag jar."
1,Jess & Julia,2012-01-31,7.9,1042,"Nick panics when Julia doesn't want to put a label on their relationship. Meanwhile, Jess enlists Julia to help her get out of a traffic ticket, Winston reconnects with a former booty call and Schmidt is baffled as to why his shower towel is always damp."
1,The Landlord,2012-02-07,8.1,1100,"Against Nick's wishes, Jess makes it her mission to get the loft's cantankerous landlord to like her. In doing so, she inadvertently jeopardizes their living situation and the guys are forced to admit they've made some ""unofficial"" changes to the apartment. Meanwhile Schmidt tries to decipher what he thinks are mixed signals from his boss Kim."
1,Valentine's Day,2012-02-14,7.9,1002,"Single for the first time on Valentine's Day, Jess convinces Schmidt to be her wingman as she attempts to have an attachment-free fling with a handsome stranger. Nick's romantic plans are foiled when he finds himself spending more time with Julia's law firm assistant than with her. Winston becomes one of the girls when Shelby invites him over on the holiday."
1,Bully,2012-02-21,7.4,912,"When Jess tries to intervene with a classroom bully she finds herself the target of the bad seed student. Schmidt, meanwhile, is thrilled over his post-Valentine's sexcapades, but hates that his paramour wants to keep it a secret; and Nick goes into a tailspin when Julia sends him a cactus."
1,Injured,2012-03-06,7.9,1013,"When Nick is hurt playing a game of touch football and Jess discovers he doesn't have insurance, she brings him to her doctor friend - an OB-GYN. The gang rallies together and Nick evaluates his life when his seemingly innocuous back injury may prove to be more serious than thought."
1,Control,2012-03-13,7.4,892,"After Jess realizes that Schmidt is unfairly doing all of the housework, she pushes him to ""go on strike,"" and the entire ecosystem of the loft is thrown off balance. Meanwhile, Nick scrambles when he must pay up to Winston after losing a poker game."
1,Fancyman Part 1,2012-03-20,7.9,982,"Jess reluctantly dates the wealthy father of one of her students. Meanwhile, Nick attempts to buy a new cell phone and Schmidt and Winston get ultra-competitive playing bar trivia."
1,Fancyman Part 2,2012-03-27,8,915,Jess's first date with Russell ended with a pat on the back. The second date ends abruptly. He explains he is out of dating practice. Nick's friend visits and helps him get over Julia. Winston finds out about Schmidt & CeCe.
1,Secrets,2012-04-03,8.2,961,"Winston shares the secret about Schmidt and CeCe with Nick, and Nick tells Jess. Jess is upset CeCe did not tell her when it started and it puts a strain on their friendship. Nick's dating younger women and asks Schmidt for help to handle it."
1,Normal,2012-04-10,7.8,875,Jess invites Russell to stay overnight at her place and is worried about how the guys will react. Winston gets a job at a radio station but finds it is not what he thought it would be. Nick pitches one of his marketing ideas to Russell.
1,Kids,2012-04-17,7.9,916,"Jess babysits Russell's pre-teen daughter for the weekend and meets his ex-wife. Then, Schmidt and Cece panic when they think she's pregnant. Also, Nick's new girlfriend may be too young and Winston discovers his new boss is a big baby."
1,Tomatoes,2012-04-24,7.6,895,"CeCe does not want to admit she cares for Schmidt, so she tells him to date her gorgeous model roommate. He does, but then she gets jealous. Jess meets Russell's first wife and does not think she matches up to Ouli who seems so exciting."
1,Backslide,2012-05-01,7.6,870,"When Jess and Nick run into their exes Paul and Caroline, the gang fears they both may ""backslide"" into romantic relationships. Meanwhile, Schmidt desperately tries not to get aroused as he deals with a delicate medical issue, Winston suffers the consequences of a wild night out with his boss and Cece brings Schmidt to a nursing home to meet her grandmother."
1,See Ya,2012-05-08,7.9,907,"When one of the roommates decides to move out of the loft, the gang makes an unexpected trip to the desert where Winston faces his fear of the dark, Cece and Schmidt's relationship reaches a turning point and Jess and Nick square off with a coyote."
2,Re-launch,2012-09-25,7.4,968,"Jess is laid off from her teaching job and volunteers to be a shot girl at Schmidt's ""rebranding"" party."
2,Katie,2012-09-25,7.8,950,"Out of work, Jess continues zany pursuits such as felt art and cooking unusual dishes. At the bar, a guy mistakes Jess for the blind date he is to meet. They have great sex and she continues to pretend she is Katie. Winston's mother visits."
2,Fluffer,2012-10-02,7.7,869,Jess continues to have great sex with Sam but does not date. Jess feels uncomfortable with a sex only relationship. Nick unwittingly becomes her surrogate boyfriend. Schmidt pretends to be one of Mitt Romney's sons to impress women.
2,Neighbors,2012-10-09,7.2,873,Schmidt struggles to fit in when Jess befriends a group of 20 year olds who move in across the hall. Nick plays pranks on Schmidt to make him think he is old.
2,Models,2012-10-23,7.8,877,"Instead of celebrating Cece's birthday watching a movie, Cece wants to go out. Jess joins the models at a wild party at the bar. The next day, Cece is not able to model at a car show, so Jess steps in at the last minute. It does not go well."
2,Halloween,2012-10-30,7.8,843,"Nick prepares for a visit from Amelia, someone he had a crush on at college. Jess has a job at a haunted house for Halloween. She invites Sam, her non-boyfriend to the haunted house and plans to tell him she wants to be a girlfriend."
2,Menzies,2012-11-13,7.8,879,"Unable to pay her share of rent and utilities, the guys tell Jess to get a job. She is experiencing her monthly period and is an emotional mess. Nick meets a silent guy who shows him how to be peaceful. Cece wants to go back with Schmidt."
2,Parents,2012-11-20,7.7,809,"When Jess's parents, Bob and Joan, show up at the same time for Thanksgiving dinner, Jess takes the opportunity to ""parent trap"" them into a reconciliation, but her ploy backfires. Meanwhile, Schmidt and his bigger ex-Marine cousin, Big Schmidt, engage in a ""manliness"" competition."
2,Eggs,2012-11-27,7.6,799,"When Sadie tells Jess and Cece they only have so many eggs available for having children, Jess is worried and insists she and Cece get tests done. Schmidt tries to find confirmation for his sexual prowess. Nick finishes writing his book."
2,Bathtub,2012-12-04,7.8,789,"Jess wants a bathtub in the apartment, and Winston helps her get one. Schmidt is still interested in CeCe and thinks they would be great together, but he is also still with his boss. Nick meets a woman with man troubles at the bar."
2,Santa,2012-12-11,8.2,861,The gang tries to attend a lot of Christmas parties. Cece talks to Schmidt about becoming just friends again. Jess tries to avoid Sam; he tells her he wants to get back together. Nick has trouble adjusting to his adventurous girlfriend.
2,Cabin,2013-01-08,7.8,802,Jess and Sam have a weekend getaway planned. Jess invites Nick and Angie to go with them so she does not have to face Sam alone. Schmidt thinks Winston needs more black friends and experiences.
2,A Father's Love,2013-01-15,7.1,754,"Nick's father visits and Nick is upset. Nick thinks his con-man father is just in town to pull another scheme. Jess tries to find a way to repair their relationship. Meanwhile, Schmidt and Robby try to win Cece back into their hearts."
2,Pepperwood,2013-01-22,8,860,Jess makes a real connection with a student in her writing class. She reads the papers to her roommates and Nick thinks the guy is a psychotic killer. Winston and Schmidt argue about what others say about them behind their back.
2,Cooler,2013-01-29,9.1,1636,"Jess is considered to be a cool force when she goes out with the guys, so they go out to find women and leave her at home. Jess hears noises outside and asks the guys and their dates to return. Party games begin, and Nick has to kiss Jess."
2,Table 34,2013-02-05,8.1,832,"After their shared kiss, Nick and Jess try to avoid each other. Cece decides to go to a dating event for East Indians; Jess and the others also attend. Schmidt makes the event painful for Cece. Sam finds out about Nick & Jess."
2,Parking Spot,2013-02-19,8.2,849,"A premium parking spot becomes available in the apartment building and the group fights over who deserves it. Nick, Jess, and Schmidt sit in the spot to see who gives up first. Winston meets up with Daisy but does not have a condom."
2,Tinfinity,2013-02-26,7.8,782,"Nick & Schmidt celebrate 10 years of being roommates. Nick's chore for the party is a porta-potty. Winston brings a football player to the bar, and Jess decides she wants to go out with him for a kiss. Cece gets a proposal."
2,Quick Hardening Caulk,2013-03-19,8.5,1001,"With Cece engaged, Schmidt is depressed. Schmidt decides an aquarium filled with a rare, unattainable, and endangered species of fish is what will cheer him up. Nick decides to be a take-charge man, and this entices Jess to want Nick."
2,Chicago,2013-03-26,7.6,807,Nick's father dies and the friends travel to Chicago. Nick's family views him as the responsible one and has him plan an Elvis funeral. Jess impersonates as Elvis to help cut costs. Winston helps Schmidt get over his fear of funerals.
2,First Date,2013-04-04,7.8,789,"Jess and Nick go on their first official date, but try to decide if it is really a date or not. Winston and Schmidt are left to themselves and realize Nick is the glue that holds them together. Without Nick, they are not sure what to do."
2,Bachelorette Party,2013-04-09,7.6,734,Jess holds a bachelorette party for Cece. Cece shows up with her fiancé's aunt and things turn G-Rated. The guys throw Shivrang a bachelor party. Jess tells Nick to get a picture of Shivrang's privates. Schmidt needs a date for the wedding.
2,Virgins,2013-04-30,8.5,1043,Each of the friends tell their story about how they lost their virginity.
2,Winston's Birthday,2013-05-07,8.1,791,"It's Winston's birthday and he wants a party. Schmidt is still seeing Elizabeth and wondering where it will lead. Jess's father comes to town for Cece's wedding, and Nick & Jess try to hide their relationship. Jess has a job interview."
2,Elaine's Big Day,2013-05-14,8.7,1021,Nick and Jess decide if they want their relationship to continue. It's Cece's wedding day and Schmidt thinks she does not want to go through with it. He gets Winston & Nick to help sabotage the wedding. Shivrang has his own big announcement.
3,All In,2013-09-17,7.8,868,"Nick and Jess run off to Mexico to give their relationship a chance to grow without the everyday problems of Schmidt and Winston. Meanwhile, Winston finds out he is color blind, and Schmidt makes a commitment to both Cece and Elizabeth."
3,Nerd,2013-09-24,7.6,722,"Jess turns to Nick for advice on how to fit in with a clique of ""mean girl"" teachers at her new school. Meanwhile, an office party is anything but fun for Schmidt, and Winston plots revenge on Daisy, whom he suspects is cheating on him."
3,Double Date,2013-10-01,7.7,693,"Thinking Schmidt has chosen to be with Cece, Jess and Nick invite him to go on a double date with them. Nick is caught between loyalty to his friend and loyalty to his girlfriend when he finds out a shocking secret. Meanwhile, Winston promises to get the foursome a table at an ultra-exclusive restaurant that doesn't take reservations."
3,The Captain,2013-10-08,7.5,676,"After being dumped by Cece and Elizabeth, an unhappy Schmidt tries to break up Jess and Nick. Winston tries to hook his cat up with another before he has to be neutered."
3,The Box,2013-10-15,7.2,654,Schmidt worries about being a good person. Nick inherits money from his father and starts a spending spree instead of paying his bills.
3,Keaton,2013-10-22,7.7,641,"Jess throws a Halloween Party, but Cece won't attend if Schmidt is there. In an effort to change Schmidt's sullen behavior, Jess, Nick and Winston resort to pretending to be his childhood idol, Michael Keaton."
3,Coach,2013-11-05,7.8,680,"When Coach returns to town and takes the other guys to a strip club, an unhappy Jess retaliates by having a girls' night out with Cece."
3,Menus,2013-11-12,7.5,643,Coach tells Nick to give him a day to help change Nick's life with diet and exercise. Jess takes action when menus for the same Chinese restaurant keep getting delivered to the loft.
3,Longest Night Ever,2013-11-19,7.5,632,"Jess is tasked with keeping a frantic Schmidt occupied as Coach and Cece go out on a date. Meanwhile, Nick and Winston meet a frisky bus driver as they search for a missing Ferguson."
3,Thanksgiving III,2013-11-26,7.5,626,"After Coach accuses him of going soft since he started dating Jess, Nick arranges a camping trip for the gang on Thanksgiving. Winston and Cece bond over their hatred of camping."
3,Clavado En Un Bar,2014-01-07,7.5,655,The gang try to help Jess decide whether to carry on teaching or take a new fundraising job.
3,Basketsball,2014-01-14,7.4,620,"Jess pretends to be a fan of the Pistons in an attempt to befriend Coach, to Nick's dismay, who is a Bulls fan. Meanwhile, Schmidt is assigned to mentor an elderly colleague at work and Winston discovers a new career path."
3,Birthday,2014-01-21,8.4,802,Nick struggles to throw Jess the perfect birthday party. Schmidt works overtime to help out Cece in her new job as bartender. Winston and Coach engage in a bake-off.
3,Prince,2014-02-02,8.6,1111,"When Jess and Cece are invited to a party thrown by Prince, the guys try to get inside. Jess panics when Nick tells her that he loves her."
3,Exes,2014-02-04,7.7,631,"When Nick has an awkward run-in with his ex-girlfriend Caroline, Jess tries to convince him that exes can still be friends. Chaos ensues when Schmidt, Winston and Coach bring their dates to Schmidt's loft."
